idno,tail,head
"892058820","65181913","929221967"
"1202859687","65182218","1147089034"
"55228101","65181859","65181853"
"1202841601","1147078829","65172596"
"55226323","65183722","65183726"
"825501401","881237164","806309216"
"825627106","65181773","881319296"
"888356613","65172809","926004544"
"55237150","65172918","65172921"
"55228418","65172815","65172843"
"822750725","65172936","879322923"
"822674136","879274176","65182014"
"55228854","65172806","65172798"
"999321188","65181994","1008538636"
"55228103","65172812","65172811"
"55229563","65182094","65182071"
"1202859571","65182335","1147088971"
"999336644","1008547522","1008518029"
"55229688","65182065","65181806"
"727815598","813348442","595856538"
"1103464937","1083405050","65181882"
"888355802","65172526","926004102"
"1220302247","1158104779","65183192"
"55227482","65182293","65182294"
"55228074","65172847","65172845"
"55229952","65181784","65181780"
"55227013","65181912","65181908"
"55226053","65174641","65174643"
"55227565","65182328","65182324"
"55225903","65174712","65174787"
"55228095","65183205","65183164"
"1220494539","1148273894","1158227664"
"55228186","65172963","65172939"
"55228027","65172850","65172847"
"55236068","65172895","65172894"
"55228379","65172513","65172519"
"1220281690","1158092064","65172536"
"822739797","65172312","879315947"
"55229455","65172783","65172777"
"822751278","65172622","879323262"
"55228608","65183162","65183152"
"55228002","65172816","65172818"
"1176423784","65172545","1130983605"
"55230069","65181778","65181782"
"55227921","65172816","65172863"
"55228060","65183186","65183239"
"55230075","65172648","65172621"
"1164953281","1123616286","65172483"
"1176300515","1130912018","1130912019"
"1103462086","1083403183","65174819"
"55230258","65172281","65172280"
"55226253","65174818","65174817"
"59048655","65172236","65172238"
"998662931","1008131865","882216059"
"1220245268","1158068457","65172782"
"55229341","65182271","65182073"
"59613514","540408217","540635758"
"584418570","718966171","65171211"
"1220137787","1158000112","1008352945"
"55229065","65182272","65182271"
"822750731","879322925","65172810"
"1176410307","1130912019","1130976018"
"55226191","65183645","65183644"
"55228567","65172971","65181816"
"1220203935","65181780","1158042731"
"55229890","65181789","65181781"
"55227840","65172888","65172882"
"55229525","65172776","65172781"
"717637436","65171215","806309214"
"55227541","65172860","65172857"
"851319790","898926777","758602666"
"55226951","65181921","65181979"
"55227011","65181882","65181878"
"1220416425","1158179641","1158138370"
"1220185138","65172273","1158030921"
"55226877","65181921","65183716"
"822727993","65172360","879308140"
"592395974","758594768","758594783"
"55230068","65182075","65182076"
"55230090","65181756","65181778"
"822647970","879256537","65172203"
"55229775","65172389","65172387"
"822764624","879331634","65181725"
"55236465","65172752","65172751"
"1220196945","1158038801","65172434"
"825501783","881237351","806309214"
"998641549","1008118375","65172874"
"55229640","65182069","65182068"
"822728715","879308619","65182452"
"55228902","65181838","65181832"
"822744730","65172304","879319105"
"888351893","926001982","65173001"
"55235952","65172830","65172829"
"763652125","65181852","838185200"
"822654659","879261127","879261126"
"1220137917","1158000183","1158000077"
"55227565","65182324","65182328"
"1176388296","1130914844","1130963391"
"998641553","65182211","1008118377"
"55229414","65181707","65181710"
"55227874","65172854","65172855"
"1220137916","880238169","1158000183"
"55228981","65172941","65172940"
"55226937","65173017","65173016"
"822661390","65172287","879265771"
"55228477","65172808","65172513"
"55226957","65182308","65182319"
"822738669","65172662","879315258"
"888360891","65172785","926007023"
"55228638","65172932","65172915"
"55230493","65172594","65172595"
"891795701","929054049","65181738"
"888355789","65172904","926004097"
"59588348","540371290","65174654"
"822727978","879308134","65172363"
"891833013","65181965","929077582"
"55228044","65172855","65172811"
"55236477","65172910","65172911"
"55225979","65174672","65174703"
"55229380","65182239","65182238"
"888435525","926051106","65182360"
"55228523","65181827","65181852"
"888420269","65182076","926042149"
"59611318","540635100","65172840"
"55230437","65172593","65172325"
"822727339","65183186","879307715"
"822779811","65181783","879341222"
"55229517","65172681","65172743"
"543237383","595868409","65182306"
"55228427","65182268","65182265"
"55229160","65172949","65181702"
"55227649","65172856","65172862"
"55226373","65174776","65174777"
"55228758","65182380","65182378"
"55228959","65181833","65181842"
"822654661","879261128","65172362"
"55226539","65183766","65183768"
"589121985","742752811","742752812"
"772971656","65172864","844677483"
"55229477","65172684","65172680"
"55228597","65172505","65172502"
"55228905","65182274","65182272"
"543237390","65183647","595868413"
"584418567","718966170","65171211"
"1203696752","1147601033","65182216"
"822750700","65172987","879322911"
"584402153","718946786","65174448"
"584402627","65172774","718947191"
"1223245462","65182390","65182381"
"888333955","925992143","838185198"
"55229948","65172221","65172226"
"891766468","929036093","65181949"
"1165432066","1123905734","879242831"
"55228680","65172944","65172943"
"543230493","595856536","65172789"
"543230506","65181707","595856541"
"822647971","65172228","879256537"
"55229457","65181787","65181788"
"55228248","65181828","65181852"
"55226229","65174828","65183635"
"55228885","65181939","65181941"
"1220301025","1158104138","65183207"
"55228624","65182269","65182273"
"824086462","65183631","880238267"
"55230487","65172595","65172593"
"999000212","65183661","1008352936"
"1220208252","1158045113","852920089"
"55229300","65182243","65182241"
"59048655","65172238","65172236"
"1165476915","65182321","1123932402"
"55228211","65181955","65181957"
"891842017","929083243","65181844"
"584402627","718947191","65172774"
"1000052338","1009005520","718946788"
"1220196946","1154634223","1158038801"
"55228550","65172925","65172932"
"589122037","742752975","65172414"
"55228539","65172504","65172503"
"55271974","65174436","65172570"
"891810706","65172906","65172905"
"55236670","65183186","65183187"
"55228284","65181959","65182265"
"1220245211","65172785","1158068417"
"1101663362","65172957","1082248338"
"55226162","65174652","65174650"
"999321187","65172867","1008538635"
"888355021","926003642","65183767"
"55226846","65174814","65173017"
"55227624","65172555","65172552"
"824087613","880238991","838185196"
"824144084","65172859","880275011"
"55236415","65181956","65181989"
"55229161","65181942","65181940"
"822722952","65172479","879304824"
"822764625","65181719","879331634"
"822661235","65172273","879265695"
"999286860","1008518029","595868413"
"799401671","863207280","65182238"
"55229381","65181805","65181940"
"55230464","65172307","65172592"
"55228294","65172981","65172970"
"55228305","65172846","65172844"
"822744980","65182093","879319273"
"55228585","65172507","65172509"
"55236423","65181813","65172950"
"851401243","65182386","898976095"
"55230463","65172593","65172592"
"55225685","65174809","65174801"
"55228166","65181860","65181859"
"55235966","65172797","65172800"
"55226814","65182313","65182310"
"1202859687","1147089034","65182218"
"55227581","65172856","65172864"
"55225957","65174673","65174671"
"1165818155","1124167623","65182023"
"55271984","65172434","65172428"
"55225759","65174832","65174834"
"55225980","65174673","65174674"
"55230218","65182028","65182027"
"55226321","65183640","65183641"
"822738681","879315263","879315258"
"888381360","926018923","65172661"
"55228442","65181828","65181823"
"55228474","65172844","65172842"
"888433828","926050166","65172280"
"727576140","65174844","65174841"
"55236405","65172525","65172526"
"55229338","65172747","65172684"
"999000216","1008352939","65183661"
"55228617","65172943","65172954"
"1202841604","65172651","1147078830"
"55227897","65172999","65172985"
"822745122","879319342","838166279"
"888357371","65172834","926005009"
"825501399","849129244","881237163"
"1220203980","65181775","1158042759"
"785019360","65181994","852921520"
"543230353","65174673","65174644"
"543231085","65182352","65182355"
"592395963","758594768","758594759"
"543231474","65181776","595858184"
"55272029","65182315","65182311"
"55228427","65182265","65182268"
"55230350","65172323","65172316"
"55228778","65182274","65182273"
"55235508","65183731","65183730"
"55235893","65173041","65174820"
"1220492714","1158226809","926042145"
"55227344","65181914","65181894"
"55236470","65172672","65172671"
"822751279","879323263","65172619"
"55229310","65172762","65172779"
"55229438","65172651","65172652"
"1220359178","65183217","1158139973"
"1176423781","1130914843","1130983604"
"822794244","65172427","879350768"
"822773135","65181719","879336929"
"824101638","880247874","65172513"
"55227807","65172889","65172888"
"55227191","65172903","65172901"
"888351909","540635086","926001988"
"55226837","65182312","65182313"
"888355765","65172885","926004086"
"763652123","838185199","65172830"
"888355019","926003641","65183771"
"55228223","65172843","65172817"
"998641552","1008118377","65182199"
"55229152","65172779","65172941"
"55236475","65172751","65172749"
"55229428","65182214","65182217"
"822674134","879274175","65182015"
"888355027","926003644","926003641"
"55229363","65182074","65182073"
"55228709","65172829","65172807"
"1176300512","1130912017","1130912016"
"55229356","65172685","65172748"
"888361113","758594763","926007156"
"891815030","929065986","65172909"
"59613106","540635682","65181956"
"888355776","926004091","65172897"
"55228580","65182371","65182391"
"999000213","1008352937","65183669"
"1220196740","1158038702","65172875"
"543237407","595868424","65183646"
"1220137704","1158000069","65183646"
"55229238","65172749","65172747"
"543231473","595858046","595858184"
"55229421","65182217","65182219"
"55226332","65174784","65174783"
"55227227","65182339","65182340"
"55228253","65183217","65183174"
"55272030","65182305","65182303"
"55228152","65172850","65172846"
"55227025","65182343","65182336"
"824086652","880238386","65172814"
"55227819","65181889","65181885"
"888357372","926005009","65172842"
"891838158","926051439","929080828"
"892058820","929221967","65181913"
"55229187","65172911","65172750"
"55227214","65172876","65172877"
"1202846596","1147081744","65182339"
"55235952","65172829","65172830"
"55271840","65172211","65172235"
"55271972","65172528","65172529"
"543230509","595856543","595856541"
"55226434","65183628","65174823"
"821633252","65183194","878510675"
"55227387","65173042","65173021"
"55226040","65183724","65183741"
"55226103","65174785","65174781"
"543231043","540631817","65172984"
"59619719","65181851","540646818"
"59612940","65181989","65181990"
"55228063","65181825","65181826"
"55229292","65172363","65172367"
"998662929","65174437","1008131864"
"55228960","65181832","65181833"
"55229044","65172796","65172795"
"55229060","65182382","65182385"
"55227474","65172883","65172865"
"55225956","65174671","65174674"
"55227391","65172886","65172885"
"822750729","879322924","65172523"
"55227960","65172984","65172929"
"55225621","65174792","65174795"
"55227432","65181894","65181967"
"55229675","65182211","65182210"
"999336643","545846350","1008547522"
"55227476","65181879","65181872"
"1220360959","1158140985","65172781"
"55229483","65181795","65181794"
"55228822","65181842","65181840"
"55229062","65181923","65181924"
"55229692","65181706","65181696"
"55229902","65181800","65182060"
"55228566","65181823","65181816"
"55227968","65172499","65172534"
"779396497","742752813","849129244"
"55225866","65174706","65174705"
"55229736","65182064","65182079"
"55230300","65172286","65172312"
"1202248745","1146707625","65174801"
"1220209888","1158045985","65172488"
"1092020886","65172937","1074893819"
"55228239","65172518","65172519"
"1220247353","1158069627","65182359"
"821633253","878510676","878510675"
"55227160","65181907","65181903"
"55235693","65174672","65174674"
"1219386788","1157493078","65172543"
"55236509","65172508","65172505"
"55228493","65172490","65172494"
"55230613","65172305","65172594"
"55229716","65181696","65181695"
"55226433","65183629","65183628"
"55229083","65182276","65182275"
"1220384113","1151219941","1158157834"
"55227807","65172888","65172889"
"888360908","926007034","65181701"
"888333957","820126730","925992144"
"543246300","595888798","65181813"
"1202248708","65174713","1146707601"
"55234620","65182352","65182279"
"543230539","65181741","595856886"
"1209615476","1151219938","1130912817"
"1119281761","1094061933","65172498"
"822797911","65172908","879353025"
"824086659","880238388","65172839"
"1165432067","1123905734","65172222"
"888351912","926001980","926001991"
"888340368","925995802","540635085"
"55228947","65182357","65182360"
"822738682","879315263","65172666"
"55229210","65172947","65172780"
"1176289972","65174437","1130905824"
"822800261","879354645","65174697"
"1176413664","1130912817","925992143"
"1220024932","65182210","1157926621"
"1203392147","879260492","1147407631"
"891767345","65182253","929036662"
"825627107","881319296","65181783"
"1220207990","1158044962","65182330"
"55226866","65172908","65173006"
"785019361","852921520","838166278"
"888355801","65172527","926004102"
"888356355","540635111","926004402"
"55228222","65172845","65172843"
"1220203902","1147092268","1158042714"
"55226372","65174777","65174780"
"822722262","879304370","879304369"
"55235949","65172836","65172834"
"543231085","65182355","65182352"
"1220246124","1158068960","879336929"
"822621766","879238258","65172221"
"825501786","881237352","849142204"
"950304698","971071820","65182434"
"1220245268","65172782","1158068457"
"59611306","65181962","540633124"
"55236580","65183659","65183660"
"55235524","65174809","65174806"
"55226011","65174643","65174644"
"55226224","65183644","65183643"
"888355802","926004102","65172526"
"55228650","65181925","65181938"
"55228778","65182273","65182274"
"55230380","65172310","65172322"
"1103454615","65181786","1083398663"
"55229753","65181720","65181698"
"888361645","926007481","65172928"
"763652123","65172830","838185199"
"592395953","758594750","595858729"
"55226788","65184014","65182315"
"822793914","65182083","879350566"
"998641559","1008118380","65172853"
"55230034","65181798","65181799"
"1220416426","1158179641","65172782"
"55225685","65174801","65174809"
"824086657","65172921","880238387"
"822739799","879315948","879315949"
"822740799","879316614","65172479"
"55226809","65172873","718946837"
"824136641","65182341","880270366"
"55228176","65172931","65172938"
"55228555","65172969","65172945"
"1202841605","1147078831","65172651"
"1220207872","1158044888","65182312"
"1202864948","1130905820","1147091953"
"55229674","65182211","65182216"
"1220137743","1158000087","65174811"
"888435526","838166283","926051106"
"55230100","65172623","65172663"
"888360901","926007030","758594740"
"888381357","926018922","65172656"
"55229617","65172652","65172394"
"543231438","65183666","595858157"
"55226059","65183646","65183645"
"55230494","65172592","65172594"
"851401243","898976095","65182386"
"55228865","65172827","65172831"
"888351900","65173013","926001985"
"59607515","65172938","540631818"
"55230594","65172306","65172303"
"888356614","65172813","926004545"
"1210058307","65174636","1151492692"
"55271780","65183209","65183208"
"888357238","926004920","65172515"
"888355016","65183769","926003639"
"55236390","65172291","65172290"
"1103462088","65174819","1083403184"
"785017266","852920097","65182322"
"55226992","65172902","65172907"
"55229668","65172657","65172668"
"55236035","65172958","65172957"
"55229716","65181695","65181696"
"55227483","65172895","65172891"
"55236547","65172528","65172460"
"888356357","926004403","65172495"
"55229069","65172920","65172916"
"999336642","595859730","1008547521"
"1220197181","1158038936","925992150"
"1202248708","1146707601","65174713"
"1204821390","65172283","1148273894"
"1203392146","1147407631","838346665"
"55226353","65174824","65174818"
"543242348","595868415","545846349"
"55228799","65172944","65172942"
"55227093","65182335","65182334"
"55271781","65183208","65183206"
"888416697","926039888","65172982"
"55228045","65172811","65172527"
"55235508","65183730","65183731"
"891815029","65172908","929065986"
"59611316","65172914","540635099"
"55226393","65183661","65183660"
"822740800","879304824","879316615"
"888357237","65172521","926004920"
"55230486","65172595","65172612"
"824103475","880249054","65172797"
"55236486","65181869","65181863"
"891767347","929036663","65181944"
"59611676","540635238","65174646"
"55228792","65181951","65181946"
"59619727","65181822","65181821"
"55229322","65182217","65182218"
"55227828","65183210","65183208"
"55227686","65181865","65173025"
"55228277","65183164","65183160"
"55226354","65183630","65183629"
"717637444","806309216","742752733"
"55228472","65172969","65172971"
"55229908","65172227","65172223"
"59048654","65172232","65172236"
"543320027","65174618","1009005519"
"55228380","65172960","65172966"
"888360568","65172987","926006808"
"824090473","65182324","880240782"
"1220137916","1158000183","880238169"
"824088231","65181959","880239370"
"543232241","65181829","595859630"
"1176295686","1130909193","718946815"
"880739072","920127256","65181696"
"55226643","65172873","65174437"
"543237393","65183648","595868425"
"55228901","65172485","65172501"
"55227160","65181903","65181907"
"888357381","926005013","540635100"
"1220301519","1158104385","65172822"
"55229827","65172668","65172665"
"822730819","65181929","879310020"
"822730828","65181989","879310023"
"55226423","65174784","65174778"
"543237387","595868411","65182306"
"55229027","65181832","65181819"
"55227018","65173035","65173037"
"822730820","879310020","65181965"
"824094670","65172995","880243351"
"824086651","65172834","880238385"
"55228672","65172512","65172509"
"55229045","65181833","65181831"
"1220208152","880242946","1158045060"
"1202500795","65174671","1146861220"
"55230295","65182029","65182022"
"55228591","65172807","65172814"
"55228765","65181938","65181945"
"55229024","65172941","65172947"
"1165818154","1124167623","65182026"
"1148159902","65172795","540632908"
"1165818155","65182023","1124167623"
"55228221","65172518","65172522"
"584418570","65171211","718966171"
"55236437","65172853","65172559"
"55228895","65182254","65182260"
"822779809","879341221","65181779"
"55226329","65174779","65174776"
"55235005","65182451","65182452"
"59611291","540635088","65172998"
"998930846","929077582","1008312323"
"1103464936","1083405049","65181909"
"55230142","65181776","65181773"
"1215024192","1130914842","1130914843"
"822761226","65183718","879329490"
"55230257","65172286","65172282"
"822744731","65172592","879319105"
"999286860","595868413","1008518029"
"888351895","926001983","540635086"
"998930849","65172804","1008312325"
"55228800","65172924","65172942"
"822728716","879308619","65182433"
"55237151","65172918","65172917"
"1220138130","65183730","1158000293"
"822750721","65172521","879322921"
"891759628","65181958","929031867"
"55228481","65172935","65172951"
"1220301518","718946975","1158104385"
"55227090","65173033","65173035"
"822779811","879341222","65181783"
"55228382","65182282","65182281"
"55228614","65182370","65182362"
"55228426","65182268","65182270"
"822794115","65182383","879350701"
"822794261","65183641","879350777"
"1176389132","1130912016","1130963821"
"55234614","65182218","65182222"
"822740801","65172502","879316615"
"1202841603","1147078830","65172645"
"55227644","65172556","65172555"
"1220207891","1158044900","65182312"
"891839942","929081939","65181715"
"55226813","65182313","65184028"
"55227885","65172881","65172863"
"55226938","65173016","65173014"
"822674135","838188380","879274175"
"55236345","65181778","65181779"
"1202500794","65174643","1146861220"
"998641548","65172869","1008118375"
"1119381308","65181701","1094121033"
"543231296","595858046","65181774"
"55227846","65183210","65183207"
"888355013","65183771","926003638"
"55226483","65183632","65183631"
"55228967","65182261","65182262"
"1220207991","1084081463","1158044962"
"888355808","65172859","926004105"
"1202860066","65182340","1147089222"
"55230332","65172285","65172310"
"55225876","65174713","65174789"
"822727339","879307715","65183186"
"999321186","1008538635","65172868"
"55230005","65172226","65172229"
"1176423782","1130983604","65172529"
"824144084","880275011","65172859"
"55227092","65181907","65181906"
"592395958","758594763","758594766"
"1220245285","1158068468","65181706"
"1220247296","1158069604","65182083"
"888417163","65172973","926040177"
"55229125","65172821","65172683"
"822738681","879315258","879315263"
"55226452","65183721","65183730"
"732272742","816465163","65172242"
"55272027","65182313","65182315"
"717637441","718966171","806309215"
"822751279","65172619","879323263"
"55227624","65172552","65172555"
"55227918","65172558","65172525"
"589122013","595988112","65172488"
"1104527914","65182308","1084081463"
"55230059","65182062","65182075"
"880739074","65181689","920127257"
"891788939","929049931","65181706"
"1220203936","1158042731","65181781"
"55230418","65172605","65172325"
"55226678","65183730","65183720"
"55226790","65182310","65183775"
"888360909","65181703","926007034"
"1220356397","1158068417","1158138370"
"1103464935","65181882","1083405049"
"1220246124","879336929","1158068960"
"55229244","65172751","65172753"
"55229891","65181781","65181726"
"824086299","880238169","65183647"
"59611305","540633124","65181965"
"55236394","65172282","65172281"
"543258903","65172426","595988113"
"55228283","65182266","65182265"
"55230160","65181775","65181776"
"1202859617","1082173018","1147088996"
"888433829","65172275","926050166"
"543237387","65182306","595868411"
"543237403","595868422","65183664"
"757982612","834488904","65174841"
"55228075","65172818","65172845"
"55229378","65172743","65172746"
"55228245","65172811","65172520"
"1119281760","540635112","1094061932"
"55226655","65174820","65174821"
"55236344","65181725","65181724"
"55227012","65181878","65181877"
"822649688","65172230","879257731"
"822739797","879315947","65172312"
"55226915","65173014","65173009"
"55235693","65174674","65174672"
"55225780","65174790","65174788"
"822661235","879265695","65172273"
"577767859","638565124","638567207"
"55229572","65181803","65181794"
"824101637","65172509","880247874"
"824153089","880280492","65172884"
"822739798","879315948","65172609"
"543320037","596424129","596423918"
"55229153","65172779","65172920"
"55227293","65172883","65172878"
"55227694","65172557","65172556"
"888367126","926010660","65172492"
"59611675","65174621","540635238"
"55230256","65172318","65172286"
"55230413","65172612","65172609"
"1202719312","65181926","1146994163"
"888361116","718946837","926007157"
"1000127247","1008352938","1008352939"
"1203392147","1147407631","879260492"
"55228785","65172794","65172807"
"851401244","65182383","898976095"
"1219386787","65172544","1157493078"
"822794116","65182380","879350701"
"822739794","65172325","879315945"
"822661389","879265770","65172274"
"1119381307","1094121033","65172786"
"822730820","65181965","879310020"
"55229231","65181792","65181923"
"55227818","65173000","65173018"
"711738709","749445156","65181933"
"59611352","540635115","65172804"
"1211052083","65172498","65172496"
"1220998926","1158570210","926007483"
"55228272","65181927","65181930"
"55226659","65172874","65174621"
"1176289964","1130905819","65172432"
"1220209888","65172488","1158045985"
"55226369","65183633","65183630"
"55229639","65182071","65182069"
"55229725","65181806","65181802"
"55230436","65172593","65172609"
"891842018","65181922","929083244"
"55236468","65172774","65172773"
"55236460","65182390","65182383"
"55228531","65182269","65182268"
"55227064","65173012","65173031"
"1202500794","1146861220","65174643"
"55227727","65172888","65172890"
"1220302246","65183195","1158104779"
"592395967","758594756","758594770"
"824087612","880238991","65172853"
"55236463","65172783","65172782"
"55229934","65172385","65172388"
"998641558","65172526","1008118380"
"822665792","65172383","879268657"
"55227243","65172878","65172877"
"569159351","644946062","65172220"
"55227777","65181871","65181884"
"1220137667","1158000051","1158000050"
"1220209897","1158045986","718947230"
"59611322","540635102","65172927"
"55229491","65172685","65172682"
"55229041","65172837","65172828"
"822797911","879353025","65172908"
"55227604","65173026","65173027"
"55230140","65172235","65172218"
"55229381","65181940","65181805"
"543242349","545846350","595868415"
"55229057","65172475","65172477"
"824086952","880238565","65181932"
"824094665","65172894","880243349"
"55229980","65181779","65181780"
"55228295","65172970","65172966"
"55228306","65172844","65172843"
"55236407","65172516","65172518"
"55234620","65182279","65182352"
"55235122","65181839","65181827"
"1103328461","1083326278","879238249"
"1220496238","881234584","1158228502"
"577767860","540408216","638567207"
"55235078","65182256","65182258"
"822728002","65172361","879308143"
"55228180","65182326","65182367"
"783547805","758594759","851881277"
"891795704","929054050","65181736"
"1220235344","1147078831","1158061956"
"1119281756","1094061928","1094061930"
"55226481","65174622","65174620"
"55229872","65172246","65172240"
"822728704","65183184","879308615"
"55227188","65172876","65172868"
"822739802","879315950","65172384"
"55228759","65182362","65182378"
"822739795","879315946","879315945"
"55227127","65182420","65182341"
"55227840","65172882","65172888"
"55228448","65182371","65182369"
"824136643","65182340","880270367"
"55227882","65173022","65173018"
"55225802","65174791","65174799"
"592395948","758594740","816465164"
"1218354111","1156832856","1156832849"
"55229814","65182079","65182082"
"543232244","65181853","595859630"
"55227879","65182326","65182327"
"55228026","65172887","65172850"
"55229365","65181710","65181711"
"55228082","65183184","65183186"
"55226771","65181909","65181913"
"1202841605","65172651","1147078831"
"1220196643","1130905818","1158038654"
"55227525","65172895","65172993"
"55227525","65172993","65172895"
"55228876","65182262","65182264"
"55227888","65183205","65183207"
"55229992","65172243","65172244"
"888436110","926051439","879319342"
"55230412","65172612","65172615"
"55229199","65181714","65181810"
"543258902","595988113","65172430"
"891788940","65181708","929049931"
"55227590","65173001","65172995"
"55228335","65172488","65172438"
"822739801","879315950","65172318"
"1176289964","65172432","1130905819"
"1220197182","65172532","1158038936"
"822745127","65182294","879319344"
"824136642","880270366","65182336"
"569168894","65172875","65172869"
"1202860272","1147089332","880270367"
"55227644","65172555","65172556"
"55227677","65181864","65181871"
"888355771","65172898","926004089"
"822744981","879319273","65182095"
"55227892","65172559","65172558"
"589121997","742752731","742752735"
"55230371","65172279","65172277"
"55228692","65181947","65181951"
"55227759","65172862","65172861"
"55228443","65181823","65172972"
"824090472","65182326","880240782"
"55229364","65172757","65172760"
"824136651","65182433","880270370"
"824144085","880275011","65172877"
"888435876","926051299","65172789"
"1220203903","1158042714","595858046"
"55228424","65172490","65172491"
"888340371","925995803","65174775"
"589121999","742752735","742752813"
"55227855","65181863","65181862"
"55227119","65181919","65181979"
"55227933","65182399","65182327"
"888356622","65172842","926004548"
"55229624","65182210","65182096"
"999336643","1008547522","545846350"
"999321190","1008538637","1008538636"
"55228702","65182361","65182362"
"55228847","65172919","65172924"
"824087613","838185196","880238991"
"55236474","65172747","65172748"
"55236476","65172752","65172750"
"55228576","65172503","65172487"
"55229877","65182063","65182061"
"592395969","758594776","758594763"
"584402252","65172587","718946837"
"55235080","65181944","65181942"
"888356268","926004354","540635105"
"55226622","65183775","65183768"
"825501785","879241971","881237352"
"543246098","65182281","65182270"
"55228720","65183156","65183163"
"55230512","65172307","65172306"
"55227167","65181900","65181896"
"55229248","65172751","65172748"
"821633253","878510675","878510676"
"772971657","844677483","65172878"
"822739796","879315946","879315947"
"55226917","65181882","742758871"
"1119281762","540635113","1094061933"
"55228019","65183239","65183187"
"55230267","65172316","65172314"
"822738669","879315258","65172662"
"55227120","65181919","65181918"
"55226394","65183660","65183641"
"55229876","65182063","65182079"
"998930850","1008312325","65172797"
"55229685","65172682","65172671"
"763618579","65182293","838166279"
"1220295632","1158100640","1008131862"
"59588346","65174654","540371289"
"55227876","65173024","820152073"
"55230036","65172235","65172241"
"763618582","838166281","65183721"
"55229040","65172837","65172838"
"592395968","758594776","65172867"
"998641551","65182078","1008118376"
"55228950","65182354","65182357"
"822727344","65183192","879307717"
"55227135","65181919","65181976"
"740888746","822544745","65181869"
"1166033782","65182283","65182321"
"999321190","1008538636","1008538637"
"55227818","65173018","65173000"
"1062517185","1054686141","886281969"
"1209615477","1130963821","1151219938"
"763657347","65182078","838188381"
"55227019","65173035","65173016"
"543237386","65182306","595868410"
"824153094","880280494","65172904"
"824094667","65173002","880243350"
"55230209","65172292","65172291"
"888381358","65172659","926018922"
"55226878","65181920","65181921"
"1220196973","1158038817","1130963392"
"999336641","1008547521","838166282"
"55229027","65181819","65181832"
